city_A;city_B;POP_A;POP_B;CC_A;CC_B;distance;border_DUM;reg_border;FR_con;FR_int;EN_con;EN_int;CEAST;SOUTH;WEST;NORTH;col_en;col_fr;col_prop_fr;col_prop_en;fr_en_prop;en_fr_prop
Paris;Turin;9591;1309;FR;IT;584.7779115338196;1;1;1;0;0;0;0;1;1;0;925.0;1019.0;0.1696818922445051;0.08862703406229148;1.9145613304090063;0.5223128578421516
Paris;Glasgow;9591;1228;FR;UK;892.5905347788245;1;0;1;0;1;0;0;0;1;0;682.0;251.0;0.04179603037622255;0.06534447268160302;0.63962610242304;1.5634133694853711
Paris;Prague;9591;1175;FR;CZ;884.6548155058697;1;1;1;0;0;0;1;0;1;0;1649.0;963.0;0.16035688148327618;0.15799565315537153;1.0149448942470753;0.9852751668274936
Paris;Lyon;9591;1175;FR;FR;392.09225880229394;0;0;1;1;0;0;0;0;1;0;3582.0;12977.0;2.1609047258654983;0.3432022010931115;6.296302060368314;0.1588233840136798
Paris;Sofia;9591;1174;FR;BG;1760.6204970583835;1;1;1;0;0;0;1;0;1;0;511.0;305.0;0.050788005038836175;0.04896044800630373;1.0373272122080488;0.964015971268512
Paris;Liverpool;9591;1170;FR;UK;625.7773132264347;1;0;1;0;1;0;0;0;1;0;649.0;214.0;0.03563486255183915;0.06218264335829966;0.5730676701295762;1.7449946177802882
Paris;Porto;9591;1163;FR;PT;1207.7157237368215;1;1;1;0;0;0;0;1;1;0;312.0;366.0;0.06094560604660341;0.029893659056686426;2.0387469439935115;0.4904973630720413
Paris;Seville;9591;1082;FR;ES;1433.112123104085;1;1;1;0;0;0;0;1;1;0;351.0;340.0;0.05661613676460425;0.03363036643877223;1.6834826009903918;0.5940067330732736
Paris;Dublin;9591;1070;FR;IE;781.3730755964499;1;0;1;0;1;0;0;0;1;0;1145.0;383.0;0.06377641288483361;0.1097058962176473;0.5813398831208357;1.7201641054311472
Paris;Helsinki;9591;1065;FR;FI;1910.8674530176822;1;1;1;0;0;0;0;0;1;1;575.0;324.0;0.053951847975681706;0.05509248063331633;0.9792960374170401;1.0211416791163253
Paris;Amsterdam;9591;1052;FR;NL;429.65227434089746;1;0;1;0;0;0;0;0;1;0;2973.0;1956.0;0.32570930444578217;0.2848520781266947;1.1434331340946553;0.8745592288540576
Paris;Rotterdam;9591;1025;FR;NL;372.95006865503404;1;0;1;0;0;0;0;0;1;0;567.0;348.0;0.057948281159065536;0.05432597655493976;1.0666772110476936;0.9374907325692249
Paris;Dusseldorf;9591;1016;FR;DE;412.2558262423045;1;0;1;0;0;0;0;0;1;0;573.0;405.0;0.06743980996960214;0.05490085461372218;1.228392717091619;0.8140719055772582
Paris;Essen-Oberhausen;9591;986;FR;DE;440.9759327518436;1;0;1;0;0;0;0;0;1;0;172.0;95.0;0.01581921468422766;0.016479837685096362;0.9599132580373566;1.0417607962250723
Paris;Lille;9591;953;FR;FR;203.84320949472263;0;0;1;1;0;0;0;0;1;0;1412.0;5237.0;0.8720550242242132;0.13528796983346547;6.445916996889531;0.15513696507146285
Paris;Lodz;9591;919;FR;PL;1257.5344650396587;1;1;1;0;0;0;1;0;1;0;129.0;99.0;0.016485286881458297;0.012359878263822273;1.3337742111676956;0.7497520881922869
Paris;Marseille;9591;862;FR;FR;661.6278015035639;0;0;1;1;0;0;0;0;1;0;2185.0;7482.0;1.245888044919909;0.20935142640660206;5.9511801104242155;0.16803389940230148
