id_MUA;Mua;Mua_en;Mua_fr;SizeMUA1k;EU15;Code_Country;NUTS_1;NUTS_2;NUTS_3;X_COORD_first;Y_COORD_first;CountryCode_numeric;id_fua;Fua;id_PUR;PUR;Supra_poly_fua;PIA;Name_supra_poly_fua;Poly_fua;id_poly_fua;Name_poly_fua;SizeHinterland1k;GDP_per_capita;Dummy_Capital
DE00341;Nürnberg;Nuremberg;Nuremberg;769;1;DE;DE2;DE25;DE254;-283969;-55262;7;DE10245;Nürnberg-Fürth; ; ;0;PIA_Nürnberg;99;1;DE08;Nürnberg-Fürth metropolitan area;560;32;0
LV01322;Riga;Riga;Riga;764;0;LV;LV0;LV00;LV006;554479;810711;19;LV10871;Riga; ; ;0;PIA_Riga;99;0; ; ;354;12;1
DE00244;Duisburg;Duisburg;Duisbourg;758;1;DE;DEA;DEA1;DEA12;-573373;191965;7;DE10166;Duisburg;DE110;Rhein - Ruhr;1;PIA_Köln;99;1;DE04;Rhein - Ruhr - North;2466;24;0
DE00242;Dortmund;Dortmund;Dortmund;750;1;DE;DEA;DEA5;DEA52;-521352;194963;7;DE10164;Dortmund;DE110;Rhein - Ruhr;1;PIA_Köln;99;1;DE05;Rhein - Ruhr;2466;27;0
DE00280;Hannover;Hanover;Hanovre;747;1;DE;DE9;DE92;DE929;-355877;277168;7;DE10194;Hannover; ; ;0;PIA_Hannover;99;0; ; ;250;32;0
CH00135;Zürich;Zürich;Zurich;718;1;CH;CH0;CH04;CH040;-487843;-270258;4;CH10097;Zürich;CH106;Zürich;0;PIA_Zürich;99;0; ; ;523;49;0
NO01438;Oslo;Oslo;Oslo;712;1;NO;NO0;NO03;NO03;-238247;1116884;22;NO10934;Oslo; ; ;0;PIA_Oslo;99;0; ; ;325;54;1
DE00226;Bremen;Bremen;Brême;709;1;DE;DE5;DE50;DE501;-416013;364558;7;DE10151;Bremen; ; ;0;PIA_Bremen;99;0; ; ;368;29;0
DE00243;Dresden;Dresden;Dresde;697;1;DE;DED;DED2;DED21;-85292;119350;7;DE10165;Dresden; ; ;0;PIA_Dresden;99;0; ; ;185;24;0
UK01933;Sheffield;Sheffield;Sheffield;693;1;UK;UKE;UKE3;UKE31;-1090415;501379;29;UK11232;Sheffield;UK111;Sheffield;0;PIA_Sheffield;99;0; ; ;444;24;0
IT01192;Palermo;Palermo;Palerme;680;1;IT;ITG;ITG1;ITG12;-147173;-1314799;16;IT10787;Palermo; ; ;0;PIA_Palermo;99;0; ; ;54;17;0
PL01510;Poznan;Poznan;Poznan;679;0;PL;PL4;PL41;PL418;130886;269201;23;PL10995;Poznan; ; ;0; ;99;0; ; ;240;11;0
DE00263;Gelsenkirchen-Bottrop;Gelsenkirchen-Bottrop;Gelsenkirchen-Bottrop;666;1;DE;DEA;DEA3;DEA32;-558957;205170;7;DE10180;Gelsenkirchen-Bottrop;DE110;Rhein - Ruhr;1; ;99;1;DE05;Rhein - Ruhr;2466;21;0
FR00695;Bordeaux;Bordeaux;Bordeaux;652;1;FR;FR6;FR61;FR612;-1222096;-446300;12;FR10471;Bordeaux; ; ;0;PIA_Bordeaux;99;0; ; ;266;28;0
PL01544;Wroclaw;Wroclaw;Wroclaw;634;0;PL;PL5;PL51;PL518;139716,9479;127360,6921;23;PL11025;Wroclaw; ; ;0; ;99;0; ; ;195;9;0
